order_date,pizza_name,pizza_category,total_kuantitas,total_amount,total_profit,total_complain
2025-01-01,THE BARBECUE CHICKEN PIZZA,CHICKEN,11,1654425.0,380052.0,2
2025-01-01,THE BIG MEAT PIZZA,CLASSIC,5,486000.0,78165.0,1
2025-01-01,THE CALABRESE PIZZA,SUPREME,1,131625.0,16605.0,1
2025-01-01,THE CALIFORNIA CHICKEN PIZZA,CHICKEN,4,575100.0,153171.0,0
2025-01-01,THE CHICKEN ALFREDO PIZZA,CHICKEN,2,238950.0,50220.0,0
2025-01-01,THE CHICKEN PESTO PIZZA,CHICKEN,4,639900.0,113157.0,0
2025-01-01,THE CLASSIC DELUXE PIZZA,CLASSIC,10,1267650.0,326187.0,1
2025-01-01,THE FIVE CHEESE PIZZA,VEGGIE,7,1048950.0,175770.0,2
2025-01-01,THE FOUR CHEESE PIZZA,VEGGIE,6,794610.0,162810.0,1
2025-01-01,THE GREEK PIZZA,CLASSIC,5,595350.0,131625.0,1
2025-01-01,THE GREEN GARDEN PIZZA,VEGGIE,7,779625.0,137943.0,2
2025-01-01,THE HAWAIIAN PIZZA,CLASSIC,4,411075.0,79542.0,0
2025-01-01,THE ITALIAN CAPOCOLLO PIZZA,CLASSIC,8,1219050.0,180144.0,0
2025-01-01,THE ITALIAN SUPREME PIZZA,SUPREME,15,2178900.0,418770.0,6
2025-01-01,THE ITALIAN VEGETABLES PIZZA,VEGGIE,2,206550.0,21708.0,1
2025-01-01,THE MEDITERRANEAN PIZZA,VEGGIE,3,423225.0,51435.0,1
2025-01-01,THE MEXICANA PIZZA,VEGGIE,9,1340550.0,344817.0,1
2025-01-01,THE NAPOLITANA PIZZA,CLASSIC,2,263250.0,60264.0,0
2025-01-01,THE PEPPER SALAMI PIZZA,SUPREME,4,504225.0,117693.0,1
2025-01-01,THE PEPPERONI PIZZA,CLASSIC,6,629775.0,150012.0,1
2025-01-01,"THE PEPPERONI, MUSHROOM AND PEPPERS PIZZA",CLASSIC,6,668250.0,162729.0,1
2025-01-01,THE PROSCIUTTO AND ARUGULA PIZZA,SUPREME,4,571050.0,109188.0,1
2025-01-01,THE SICILIAN PIZZA,SUPREME,4,558900.0,103275.0,0
2025-01-01,THE SOPPRESSATA PIZZA,SUPREME,1,168075.0,22275.0,0
2025-01-01,THE SOUTHWEST CHICKEN PIZZA,CHICKEN,7,1014525.0,166617.0,0
